geoid,year,measure,value
020700001001227,2021,total_housing_units,1
020700001001228,2021,total_housing_units,7
020700001001229,2021,total_housing_units,11
020700001001230,2021,total_housing_units,10
020700001001231,2021,total_housing_units,9
020700001001232,2021,total_housing_units,1
020700001001233,2021,total_housing_units,3
020700001001234,2021,total_housing_units,0
020700001001235,2021,total_housing_units,3
020700001001236,2021,total_housing_units,4
020700001001237,2021,total_housing_units,3
020700001001238,2021,total_housing_units,3
020700001001239,2021,total_housing_units,3
020700001001240,2021,total_housing_units,9
020700001001241,2021,total_housing_units,0
020700001001242,2021,total_housing_units,1
020700001001243,2021,total_housing_units,11
020700001001244,2021,total_housing_units,19
020700001001245,2021,total_housing_units,4
020700001001246,2021,total_housing_units,0
020700001001247,2021,total_housing_units,16
020700001001248,2021,total_housing_units,5
020700001001249,2021,total_housing_units,4
020700001001250,2021,total_housing_units,11
020700001001251,2021,total_housing_units,5
020700001001252,2021,total_housing_units,8
020700001001253,2021,total_housing_units,0
020700001001254,2021,total_housing_units,0
020700001001255,2021,total_housing_units,9
020700001001256,2021,total_housing_units,12
020700001001257,2021,total_housing_units,0
020700001001258,2021,total_housing_units,0
020700001001259,2021,total_housing_units,0
020700001001260,2021,total_housing_units,0
020700001001261,2021,total_housing_units,0
020700001001262,2021,total_housing_units,0
020700001001263,2021,total_housing_units,0
020700001001264,2021,total_housing_units,0
020700001001265,2021,total_housing_units,0
020700001001266,2021,total_housing_units,1
020700001001267,2021,total_housing_units,0
020700001001268,2021,total_housing_units,0
020700001001269,2021,total_housing_units,0
020700001001270,2021,total_housing_units,0
020700001001271,2021,total_housing_units,3
020700001001272,2021,total_housing_units,7
020700002001000,2021,total_housing_units,10
020700002001001,2021,total_housing_units,2
020700002001002,2021,total_housing_units,2
020700002001003,2021,total_housing_units,0
020700002001004,2021,total_housing_units,0
020700002001005,2021,total_housing_units,22
020700002001006,2021,total_housing_units,193
020700002001007,2021,total_housing_units,14
020700002001008,2021,total_housing_units,2
020700002001009,2021,total_housing_units,131
020700002001010,2021,total_housing_units,14
020700002001011,2021,total_housing_units,17
020700002001012,2021,total_housing_units,0
020700002001013,2021,total_housing_units,0
020700002001014,2021,total_housing_units,190
020700002001015,2021,total_housing_units,2
020700002001016,2021,total_housing_units,7
020700002001017,2021,total_housing_units,1
020700002001018,2021,total_housing_units,18
020700002001019,2021,total_housing_units,3
020700002001020,2021,total_housing_units,12
020700002001021,2021,total_housing_units,7
020700002001022,2021,total_housing_units,128
020700002001023,2021,total_housing_units,13
020700002001024,2021,total_housing_units,21
020700002001025,2021,total_housing_units,4
020700002001026,2021,total_housing_units,2
020700002001027,2021,total_housing_units,5
020700002001028,2021,total_housing_units,48
020700002001029,2021,total_housing_units,0
020700002001030,2021,total_housing_units,23
020700002001031,2021,total_housing_units,64
020700002001032,2021,total_housing_units,0
020700002001033,2021,total_housing_units,12
020700002001034,2021,total_housing_units,33
020700002001035,2021,total_housing_units,0
020700002001036,2021,total_housing_units,0
020700002001037,2021,total_housing_units,4
020700002001038,2021,total_housing_units,14
020700002001039,2021,total_housing_units,8
020700002001040,2021,total_housing_units,16
020900001001000,2021,total_housing_units,0
020900001001001,2021,total_housing_units,0
020900001001002,2021,total_housing_units,0
020900001001003,2021,total_housing_units,0
020900001001004,2021,total_housing_units,16
020900001001005,2021,total_housing_units,0
020900001001006,2021,total_housing_units,18
020900001001007,2021,total_housing_units,39
020900001001008,2021,total_housing_units,2
020900001001009,2021,total_housing_units,9
020900001001010,2021,total_housing_units,0
020900001001011,2021,total_housing_units,16
020900001001012,2021,total_housing_units,77
020900001001013,2021,total_housing_units,9
020900001001014,2021,total_housing_units,0
020900001001015,2021,total_housing_units,1
020900001001016,2021,total_housing_units,91
020900001001017,2021,total_housing_units,2
020900001001018,2021,total_housing_units,0
020900001001019,2021,total_housing_units,0
020900001001020,2021,total_housing_units,5
020900001001021,2021,total_housing_units,0
020900001001022,2021,total_housing_units,177
020900001001023,2021,total_housing_units,0
020900001001024,2021,total_housing_units,4
020900001001025,2021,total_housing_units,5
020900001001026,2021,total_housing_units,10
020900001001027,2021,total_housing_units,10
020900001001028,2021,total_housing_units,9
020900001001029,2021,total_housing_units,27
020900001001030,2021,total_housing_units,0
020900001001031,2021,total_housing_units,0
020900001001032,2021,total_housing_units,0
020900001001033,2021,total_housing_units,0
020900001001034,2021,total_housing_units,0
020900001001035,2021,total_housing_units,61
020900001001036,2021,total_housing_units,16
020900001001037,2021,total_housing_units,81
020900001001038,2021,total_housing_units,0
020900001001039,2021,total_housing_units,6
020900001001040,2021,total_housing_units,0
020900001001041,2021,total_housing_units,2
020900001001042,2021,total_housing_units,3
020900001002000,2021,total_housing_units,6
020900001002001,2021,total_housing_units,2
020900001002002,2021,total_housing_units,0
020900001002003,2021,total_housing_units,3
020900001002004,2021,total_housing_units,14
020900001002005,2021,total_housing_units,15
020900001002006,2021,total_housing_units,16
020900001002007,2021,total_housing_units,2
020900001002008,2021,total_housing_units,2
020900001002009,2021,total_housing_units,0
020900001002010,2021,total_housing_units,0
020900001002011,2021,total_housing_units,5
020900001002012,2021,total_housing_units,8
020900001002013,2021,total_housing_units,18
020900001002014,2021,total_housing_units,5
020900001002015,2021,total_housing_units,0
020900001002016,2021,total_housing_units,0
020900001002017,2021,total_housing_units,0
020900001002018,2021,total_housing_units,0
020900001002019,2021,total_housing_units,0
020900001002020,2021,total_housing_units,0
020900001002021,2021,total_housing_units,0
020900001002022,2021,total_housing_units,29
020900001002023,2021,total_housing_units,0
020900001002024,2021,total_housing_units,9
020900001002025,2021,total_housing_units,27
020900001002026,2021,total_housing_units,31
020900001002027,2021,total_housing_units,20
020900001002028,2021,total_housing_units,34
020900001002029,2021,total_housing_units,0
020900001002030,2021,total_housing_units,1
020900001002031,2021,total_housing_units,40
020900001002032,2021,total_housing_units,0
020900001002033,2021,total_housing_units,1
020900001002034,2021,total_housing_units,2
020900001002035,2021,total_housing_units,0
020900001002036,2021,total_housing_units,0
020900001002037,2021,total_housing_units,3
020900001002038,2021,total_housing_units,56
020900001002039,2021,total_housing_units,72
020900001002040,2021,total_housing_units,8
020900001002041,2021,total_housing_units,3
020900001002042,2021,total_housing_units,1
020900001002043,2021,total_housing_units,3
020900002001000,2021,total_housing_units,0
020900002001001,2021,total_housing_units,2
020900002001002,2021,total_housing_units,49
020900002001003,2021,total_housing_units,11
020900002001004,2021,total_housing_units,0
020900002001005,2021,total_housing_units,0
020900002001006,2021,total_housing_units,50
020900002001007,2021,total_housing_units,0
020900002001008,2021,total_housing_units,0
020900002001009,2021,total_housing_units,7
020900002001010,2021,total_housing_units,15
020900002001011,2021,total_housing_units,11
020900002001012,2021,total_housing_units,13
020900002001013,2021,total_housing_units,15
020900002001014,2021,total_housing_units,10
020900002001015,2021,total_housing_units,0
020900002001016,2021,total_housing_units,0
020900002001017,2021,total_housing_units,0
020900002001018,2021,total_housing_units,25
020900002001019,2021,total_housing_units,7
020900002001020,2021,total_housing_units,46
020900002001021,2021,total_housing_units,31
020900002001022,2021,total_housing_units,0
020900002001023,2021,total_housing_units,18
020900002001024,2021,total_housing_units,13
020900002001025,2021,total_housing_units,28
020900002001026,2021,total_housing_units,21
020900002001027,2021,total_housing_units,0
020900002001028,2021,total_housing_units,41
020900002001029,2021,total_housing_units,8
020900002001030,2021,total_housing_units,17
020900002001031,2021,total_housing_units,11
020900002001032,2021,total_housing_units,0
020900002001033,2021,total_housing_units,0
020900002001034,2021,total_housing_units,10
020900002001035,2021,total_housing_units,5
020900002001036,2021,total_housing_units,12
020900002001037,2021,total_housing_units,17
020900002002000,2021,total_housing_units,0
020900002002001,2021,total_housing_units,76
020900002002002,2021,total_housing_units,0
020900002002003,2021,total_housing_units,23
020900002002004,2021,total_housing_units,13
020900002002005,2021,total_housing_units,1
020900002002006,2021,total_housing_units,12
020900002002007,2021,total_housing_units,9
020900002002008,2021,total_housing_units,10
020900002002009,2021,total_housing_units,6
020900002002010,2021,total_housing_units,0
020900002002011,2021,total_housing_units,31
020900002002012,2021,total_housing_units,1
020900002002013,2021,total_housing_units,18
020900002002014,2021,total_housing_units,17
020900002002015,2021,total_housing_units,10
020900002002016,2021,total_housing_units,10
020900002002017,2021,total_housing_units,0
020900002002018,2021,total_housing_units,5
020900002002019,2021,total_housing_units,6
020900002002020,2021,total_housing_units,3
020900002002021,2021,total_housing_units,7
020900002002022,2021,total_housing_units,4
020900002002023,2021,total_housing_units,9
020900002002024,2021,total_housing_units,12
020900002002025,2021,total_housing_units,3
020900002002026,2021,total_housing_units,12
020900002002027,2021,total_housing_units,15
020900002002028,2021,total_housing_units,1
020900002002029,2021,total_housing_units,0
020900002002030,2021,total_housing_units,0
020900002002031,2021,total_housing_units,9
020900002002032,2021,total_housing_units,27
020900002002033,2021,total_housing_units,13
020900002002034,2021,total_housing_units,7
020900002002035,2021,total_housing_units,13
020900002002036,2021,total_housing_units,1
020900002002037,2021,total_housing_units,1
020900002002038,2021,total_housing_units,9
020900002002039,2021,total_housing_units,5
020900002002040,2021,total_housing_units,8
020900002002041,2021,total_housing_units,9
020900002002042,2021,total_housing_units,10
020900002003000,2021,total_housing_units,10
020900002003001,2021,total_housing_units,12
020900002003002,2021,total_housing_units,97
020900002003003,2021,total_housing_units,75
020900002003004,2021,total_housing_units,25
020900002003005,2021,total_housing_units,32
020900002003006,2021,total_housing_units,27
020900002003007,2021,total_housing_units,25
020900002003008,2021,total_housing_units,90
020900002003009,2021,total_housing_units,77
020900003001000,2021,total_housing_units,0
020900003001001,2021,total_housing_units,0
020900003001002,2021,total_housing_units,10
020900003001003,2021,total_housing_units,39
020900003001004,2021,total_housing_units,0
020900003001005,2021,total_housing_units,18
020900003001006,2021,total_housing_units,38
020900003001007,2021,total_housing_units,22
020900003001008,2021,total_housing_units,18
020900003001009,2021,total_housing_units,16
020900003001010,2021,total_housing_units,2
020900003001011,2021,total_housing_units,2
020900003001012,2021,total_housing_units,12
020900003001013,2021,total_housing_units,9
020900003001014,2021,total_housing_units,9
020900003001015,2021,total_housing_units,0
020900003001016,2021,total_housing_units,46
020900003001017,2021,total_housing_units,18
020900003001018,2021,total_housing_units,17
020900003001019,2021,total_housing_units,10
020900003001020,2021,total_housing_units,8
020900003001021,2021,total_housing_units,15
020900003001022,2021,total_housing_units,21
020900003001023,2021,total_housing_units,2
020900003001024,2021,total_housing_units,14
020900003001025,2021,total_housing_units,27
020900003001026,2021,total_housing_units,13
020900003002000,2021,total_housing_units,24
020900003002001,2021,total_housing_units,1
020900003002002,2021,total_housing_units,20
020900003002003,2021,total_housing_units,26
020900003002004,2021,total_housing_units,6
020900003002005,2021,total_housing_units,0
020900003002006,2021,total_housing_units,0
020900003002007,2021,total_housing_units,0
020900003002008,2021,total_housing_units,46
020900003002009,2021,total_housing_units,26
020900003002010,2021,total_housing_units,7
020900003002011,2021,total_housing_units,5
020900003002012,2021,total_housing_units,12
020900003002013,2021,total_housing_units,1
020900003002014,2021,total_housing_units,18
020900003002015,2021,total_housing_units,19
020900003002016,2021,total_housing_units,51
020900003002017,2021,total_housing_units,22
020900003002018,2021,total_housing_units,38
020900003002019,2021,total_housing_units,13
020900003002020,2021,total_housing_units,0
020900003002021,2021,total_housing_units,0
020900003002022,2021,total_housing_units,100
020900003002023,2021,total_housing_units,55
020900003002024,2021,total_housing_units,10
020900003002025,2021,total_housing_units,13
020900003002026,2021,total_housing_units,14
020900003002027,2021,total_housing_units,8
020900003002028,2021,total_housing_units,17
020900003002029,2021,total_housing_units,24
020900003002030,2021,total_housing_units,24
020900003002031,2021,total_housing_units,40
020900003002032,2021,total_housing_units,8
020900003002033,2021,total_housing_units,0
020900003002034,2021,total_housing_units,0
020900003002035,2021,total_housing_units,0
020900003003000,2021,total_housing_units,68
020900003003001,2021,total_housing_units,2
020900003003002,2021,total_housing_units,20
020900003003003,2021,total_housing_units,29
020900003003004,2021,total_housing_units,6
020900003003005,2021,total_housing_units,18
020900003003006,2021,total_housing_units,39
020900003003007,2021,total_housing_units,11
020900003003008,2021,total_housing_units,11
020900003003009,2021,total_housing_units,15
020900003003010,2021,total_housing_units,29
020900003003011,2021,total_housing_units,17
020900003003012,2021,total_housing_units,12
020900003003013,2021,total_housing_units,15
020900003003014,2021,total_housing_units,11
020900003003015,2021,total_housing_units,1
020900003003016,2021,total_housing_units,15
020900003003017,2021,total_housing_units,59
020900003003018,2021,total_housing_units,103
020900003003019,2021,total_housing_units,23
020900003003020,2021,total_housing_units,8
020900003003021,2021,total_housing_units,52
020900003003022,2021,total_housing_units,50
020900003003023,2021,total_housing_units,40
020900003003024,2021,total_housing_units,19
020900003003025,2021,total_housing_units,32
020900003003026,2021,total_housing_units,19
020900003003027,2021,total_housing_units,15
020900003004000,2021,total_housing_units,2
020900003004001,2021,total_housing_units,0
020900003004002,2021,total_housing_units,0
020900003004003,2021,total_housing_units,14
020900003004004,2021,total_housing_units,7
020900003004005,2021,total_housing_units,0
020900003004006,2021,total_housing_units,14
020900003004007,2021,total_housing_units,22
020900003004008,2021,total_housing_units,12
020900003004009,2021,total_housing_units,9
020900003004010,2021,total_housing_units,24
020900003004011,2021,total_housing_units,7
020900003004012,2021,total_housing_units,13
020900003004013,2021,total_housing_units,0
020900003004014,2021,total_housing_units,1
020900003004015,2021,total_housing_units,1
020900003004016,2021,total_housing_units,4
020900003004017,2021,total_housing_units,9
020900003004018,2021,total_housing_units,15
020900003004019,2021,total_housing_units,12
020900003004020,2021,total_housing_units,54
020900003004021,2021,total_housing_units,27
020900003004022,2021,total_housing_units,16
020900003004023,2021,total_housing_units,8
020900003004024,2021,total_housing_units,0
020900003004025,2021,total_housing_units,0
020900003004026,2021,total_housing_units,6
020900003004027,2021,total_housing_units,1
020900003004028,2021,total_housing_units,1
020900003004029,2021,total_housing_units,46
020900003004030,2021,total_housing_units,23
020900003004031,2021,total_housing_units,12
020900003004032,2021,total_housing_units,29
020900003004033,2021,total_housing_units,17
020900003004034,2021,total_housing_units,0
020900003004035,2021,total_housing_units,17
020900003004036,2021,total_housing_units,3
020900003004037,2021,total_housing_units,0
020900003004038,2021,total_housing_units,0
020900003004039,2021,total_housing_units,0
020900003004040,2021,total_housing_units,13
020900004001000,2021,total_housing_units,180
020900004001001,2021,total_housing_units,30
020900004001002,2021,total_housing_units,38
020900004001003,2021,total_housing_units,32
020900004001004,2021,total_housing_units,39
020900004001005,2021,total_housing_units,5
020900004001006,2021,total_housing_units,14
020900004001007,2021,total_housing_units,38
020900004001008,2021,total_housing_units,21
020900004001009,2021,total_housing_units,28
020900004001010,2021,total_housing_units,33
020900004001011,2021,total_housing_units,19
020900004001012,2021,total_housing_units,12
020900004001013,2021,total_housing_units,0
020900004001014,2021,total_housing_units,6
020900004001015,2021,total_housing_units,12
020900004001016,2021,total_housing_units,12
020900004001017,2021,total_housing_units,26
020900004001018,2021,total_housing_units,16
020900004001019,2021,total_housing_units,13
020900004001020,2021,total_housing_units,14
020900004001021,2021,total_housing_units,12
020900004001022,2021,total_housing_units,7
020900004002000,2021,total_housing_units,12
020900004002001,2021,total_housing_units,1
020900004002002,2021,total_housing_units,0
020900004002003,2021,total_housing_units,0
020900004002004,2021,total_housing_units,15
020900004002005,2021,total_housing_units,8
020900004002006,2021,total_housing_units,25
020900004002007,2021,total_housing_units,10
020900004002008,2021,total_housing_units,8
020900004002009,2021,total_housing_units,5
020900004002010,2021,total_housing_units,12
020900004002011,2021,total_housing_units,7
020900004002012,2021,total_housing_units,17
020900004002013,2021,total_housing_units,23
020900004002014,2021,total_housing_units,10
020900004002015,2021,total_housing_units,9
020900004002016,2021,total_housing_units,0
020900004002017,2021,total_housing_units,20
020900004002018,2021,total_housing_units,5
020900004002019,2021,total_housing_units,11
020900004002020,2021,total_housing_units,11
020900004002021,2021,total_housing_units,7
020900004002022,2021,total_housing_units,38
020900004002023,2021,total_housing_units,2
020900004002024,2021,total_housing_units,11
020900004003000,2021,total_housing_units,13
020900004003001,2021,total_housing_units,24
020900004003002,2021,total_housing_units,13
020900004003003,2021,total_housing_units,10
020900004003004,2021,total_housing_units,9
020900004003005,2021,total_housing_units,9
020900004003006,2021,total_housing_units,6
020900004003007,2021,total_housing_units,6
020900004003008,2021,total_housing_units,8
020900004003009,2021,total_housing_units,10
020900004003010,2021,total_housing_units,7
020900004003011,2021,total_housing_units,16
020900004003012,2021,total_housing_units,11
020900004003013,2021,total_housing_units,9
020900004003014,2021,total_housing_units,12
020900004003015,2021,total_housing_units,11
020900004003016,2021,total_housing_units,6
020900004003017,2021,total_housing_units,8
020900004003018,2021,total_housing_units,12
020900004003019,2021,total_housing_units,10
020900004003020,2021,total_housing_units,15
020900004003021,2021,total_housing_units,7
020900004003022,2021,total_housing_units,6
020900004003023,2021,total_housing_units,0
020900004003024,2021,total_housing_units,8
020900004003025,2021,total_housing_units,7
020900004003026,2021,total_housing_units,8
020900004003027,2021,total_housing_units,7
020900004003028,2021,total_housing_units,6
020900004003029,2021,total_housing_units,12
020900004003030,2021,total_housing_units,6
020900004003031,2021,total_housing_units,7
020900004003032,2021,total_housing_units,4
020900004003033,2021,total_housing_units,8
020900004003034,2021,total_housing_units,9
020900004003035,2021,total_housing_units,8
020900004003036,2021,total_housing_units,9
020900004003037,2021,total_housing_units,7
020900004003038,2021,total_housing_units,7
020900004003039,2021,total_housing_units,7
020900004003040,2021,total_housing_units,7
020900004003041,2021,total_housing_units,7
020900004003042,2021,total_housing_units,7
020900004003043,2021,total_housing_units,7
020900004004000,2021,total_housing_units,6
020900004004001,2021,total_housing_units,15
020900004004002,2021,total_housing_units,61
020900004004003,2021,total_housing_units,1
020900004004004,2021,total_housing_units,100
020900004004005,2021,total_housing_units,30
020900004004006,2021,total_housing_units,61
020900004004007,2021,total_housing_units,4
020900004004008,2021,total_housing_units,26
020900004004009,2021,total_housing_units,35
020900004004010,2021,total_housing_units,23
020900004004011,2021,total_housing_units,1
020900004004012,2021,total_housing_units,31
020900004004013,2021,total_housing_units,26
020900004004014,2021,total_housing_units,0
020900004004015,2021,total_housing_units,0
020900004004016,2021,total_housing_units,0
020900004004017,2021,total_housing_units,57
020900004004018,2021,total_housing_units,8
020900004004019,2021,total_housing_units,7
020900004004020,2021,total_housing_units,7
020900004004021,2021,total_housing_units,37
020900004004022,2021,total_housing_units,43
020900004004023,2021,total_housing_units,12
020900004004024,2021,total_housing_units,10
020900004004025,2021,total_housing_units,9
020900004004026,2021,total_housing_units,16
020900004004027,2021,total_housing_units,48
020900004004028,2021,total_housing_units,35
020900004004029,2021,total_housing_units,12
020900005001000,2021,total_housing_units,395
020900005001001,2021,total_housing_units,8
020900005001002,2021,total_housing_units,104
020900005001003,2021,total_housing_units,3
020900005001004,2021,total_housing_units,10
020900005001005,2021,total_housing_units,1
020900005001006,2021,total_housing_units,26
020900005001007,2021,total_housing_units,21
020900005001008,2021,total_housing_units,12
020900005001009,2021,total_housing_units,35
020900005001010,2021,total_housing_units,9
020900005001011,2021,total_housing_units,30
020900005001012,2021,total_housing_units,21
020900005001013,2021,total_housing_units,9
020900005001014,2021,total_housing_units,8
020900005001015,2021,total_housing_units,0
020900005001016,2021,total_housing_units,27
020900005001017,2021,total_housing_units,0
020900005001018,2021,total_housing_units,19
020900005001019,2021,total_housing_units,6
020900005001020,2021,total_housing_units,9
020900005001021,2021,total_housing_units,7
020900005001022,2021,total_housing_units,9
020900005001023,2021,total_housing_units,5
020900005001024,2021,total_housing_units,11
020900005001025,2021,total_housing_units,0
020900005001026,2021,total_housing_units,0
020900005001027,2021,total_housing_units,0
020900005001028,2021,total_housing_units,0
020900005002000,2021,total_housing_units,0
020900005002001,2021,total_housing_units,140
020900005002002,2021,total_housing_units,0
020900005002003,2021,total_housing_units,47
020900005002004,2021,total_housing_units,67
020900005002005,2021,total_housing_units,0
020900005002006,2021,total_housing_units,0
020900005002007,2021,total_housing_units,0
020900005002008,2021,total_housing_units,0
020900005002009,2021,total_housing_units,0
020900005002010,2021,total_housing_units,0
020900005002011,2021,total_housing_units,0
020900005002012,2021,total_housing_units,0
020900005002013,2021,total_housing_units,0
020900005002014,2021,total_housing_units,0
020900005002015,2021,total_housing_units,0
020900005002016,2021,total_housing_units,39
020900005002017,2021,total_housing_units,0
020900005002018,2021,total_housing_units,0
020900005002019,2021,total_housing_units,19
020900005002020,2021,total_housing_units,19
020900005002021,2021,total_housing_units,13
020900005002022,2021,total_housing_units,13
020900005002023,2021,total_housing_units,1
020900005002024,2021,total_housing_units,2
020900005002025,2021,total_housing_units,11
020900005002026,2021,total_housing_units,11
020900005002027,2021,total_housing_units,5
020900005002028,2021,total_housing_units,7
020900005002029,2021,total_housing_units,10
020900005002030,2021,total_housing_units,13
020900005002031,2021,total_housing_units,3
020900005002032,2021,total_housing_units,11
020900005002033,2021,total_housing_units,14
020900005002034,2021,total_housing_units,10
020900005002035,2021,total_housing_units,10
020900005002036,2021,total_housing_units,34
020900005002037,2021,total_housing_units,42
020900005002038,2021,total_housing_units,12
020900005002039,2021,total_housing_units,11
020900005002040,2021,total_housing_units,0
020900005002041,2021,total_housing_units,0
020900005002042,2021,total_housing_units,0
020900005002043,2021,total_housing_units,0
020900005002044,2021,total_housing_units,0
020900005002045,2021,total_housing_units,0
020900005002046,2021,total_housing_units,0
020900005002047,2021,total_housing_units,46
020900005002048,2021,total_housing_units,7
020900005002049,2021,total_housing_units,0
020900005002050,2021,total_housing_units,0
020900005002051,2021,total_housing_units,0
020900005002052,2021,total_housing_units,0
020900005002053,2021,total_housing_units,0
020900005002054,2021,total_housing_units,2
020900005002055,2021,total_housing_units,0
020900005002056,2021,total_housing_units,0
020900005002057,2021,total_housing_units,0
020900005002058,2021,total_housing_units,6
020900005002059,2021,total_housing_units,0
020900005002060,2021,total_housing_units,3
020900005002061,2021,total_housing_units,0
020900005002062,2021,total_housing_units,0
020900005002063,2021,total_housing_units,0
020900005002064,2021,total_housing_units,5
020900005002065,2021,total_housing_units,4
020900005002066,2021,total_housing_units,38
020900005002067,2021,total_housing_units,0
020900005002068,2021,total_housing_units,0
020900005002069,2021,total_housing_units,23
020900006001000,2021,total_housing_units,0
020900006001001,2021,total_housing_units,0
020900006001002,2021,total_housing_units,0
020900006001003,2021,total_housing_units,55
020900006001004,2021,total_housing_units,8
020900006001005,2021,total_housing_units,12
020900006001006,2021,total_housing_units,18
020900006001007,2021,total_housing_units,17
020900006001008,2021,total_housing_units,4
020900006001009,2021,total_housing_units,0
020900006001010,2021,total_housing_units,0
020900006001011,2021,total_housing_units,73
020900006001012,2021,total_housing_units,71
020900006001013,2021,total_housing_units,0
020900006001014,2021,total_housing_units,104
020900006001015,2021,total_housing_units,6
020900006001016,2021,total_housing_units,3
020900006001017,2021,total_housing_units,7
020900006001018,2021,total_housing_units,15
020900006001019,2021,total_housing_units,11
020900006001020,2021,total_housing_units,11
020900006001021,2021,total_housing_units,9
020900006001022,2021,total_housing_units,6
020900006001023,2021,total_housing_units,5
020900006001024,2021,total_housing_units,3
020900006001025,2021,total_housing_units,6
020900006001026,2021,total_housing_units,7
020900006001027,2021,total_housing_units,11
020900006001028,2021,total_housing_units,9
020900006001029,2021,total_housing_units,9
020900006002000,2021,total_housing_units,7
020900006002001,2021,total_housing_units,0
020900006002002,2021,total_housing_units,0
020900006002003,2021,total_housing_units,4
020900006002004,2021,total_housing_units,0
020900006002005,2021,total_housing_units,0
020900006002006,2021,total_housing_units,8
020900006002007,2021,total_housing_units,2
020900006002008,2021,total_housing_units,5
020900006002009,2021,total_housing_units,0
020900006002010,2021,total_housing_units,5
020900006002011,2021,total_housing_units,84
020900006002012,2021,total_housing_units,24
020900006002013,2021,total_housing_units,9
020900006002014,2021,total_housing_units,16
020900006002015,2021,total_housing_units,11
020900006002016,2021,total_housing_units,10
020900006002017,2021,total_housing_units,9
020900006002018,2021,total_housing_units,22
020900006002019,2021,total_housing_units,8
020900006002020,2021,total_housing_units,7
020900006002021,2021,total_housing_units,7
020900006002022,2021,total_housing_units,15
020900006002023,2021,total_housing_units,0
020900006002024,2021,total_housing_units,0
020900006002025,2021,total_housing_units,2
020900006002026,2021,total_housing_units,1
020900006002027,2021,total_housing_units,0
020900006002028,2021,total_housing_units,60
020900006002029,2021,total_housing_units,21
020900006002030,2021,total_housing_units,23
020900006002031,2021,total_housing_units,0
020900006002032,2021,total_housing_units,0
020900006002033,2021,total_housing_units,0
020900006002034,2021,total_housing_units,11
020900006002035,2021,total_housing_units,27
020900006002036,2021,total_housing_units,0
020900006002037,2021,total_housing_units,0
020900006002038,2021,total_housing_units,8
020900006002039,2021,total_housing_units,12
020900006002040,2021,total_housing_units,9
020900006002041,2021,total_housing_units,11
020900006002042,2021,total_housing_units,5
020900006002043,2021,total_housing_units,27
020900006002044,2021,total_housing_units,20
020900006002045,2021,total_housing_units,22
020900006002046,2021,total_housing_units,9
020900006002047,2021,total_housing_units,7
020900006002048,2021,total_housing_units,9
020900006002049,2021,total_housing_units,5
020900006002050,2021,total_housing_units,9
020900006002051,2021,total_housing_units,7
020900006002052,2021,total_housing_units,10
020900006002053,2021,total_housing_units,7
020900006002054,2021,total_housing_units,6
020900006003000,2021,total_housing_units,59
020900006003001,2021,total_housing_units,7
020900006003002,2021,total_housing_units,12
020900006003003,2021,total_housing_units,4
020900006003004,2021,total_housing_units,16
020900006003005,2021,total_housing_units,4
020900006003006,2021,total_housing_units,25
020900006003007,2021,total_housing_units,25
020900006003008,2021,total_housing_units,26
020900006003009,2021,total_housing_units,11
020900006003010,2021,total_housing_units,35
020900006003011,2021,total_housing_units,2
020900006003012,2021,total_housing_units,24
020900006003013,2021,total_housing_units,7
020900006003014,2021,total_housing_units,20
020900006004000,2021,total_housing_units,150
020900006004001,2021,total_housing_units,16
020900006004002,2021,total_housing_units,9
020900006004003,2021,total_housing_units,14
020900006004004,2021,total_housing_units,13
020900006004005,2021,total_housing_units,6
020900006004006,2021,total_housing_units,9
020900006004007,2021,total_housing_units,22
020900006004008,2021,total_housing_units,15
020900006004009,2021,total_housing_units,19
020900006004010,2021,total_housing_units,87
020900006004011,2021,total_housing_units,20
020900006004012,2021,total_housing_units,0
020900006004013,2021,total_housing_units,0
020900006004014,2021,total_housing_units,0
020900006004015,2021,total_housing_units,0
020900006004016,2021,total_housing_units,5
020900006004017,2021,total_housing_units,6
020900006004018,2021,total_housing_units,13
020900007001000,2021,total_housing_units,0
020900007001001,2021,total_housing_units,101
020900007001002,2021,total_housing_units,52
020900007001003,2021,total_housing_units,14
020900007001004,2021,total_housing_units,26
020900007001005,2021,total_housing_units,0
020900007001006,2021,total_housing_units,44
020900007001007,2021,total_housing_units,31
020900007001008,2021,total_housing_units,0
020900007001009,2021,total_housing_units,8
020900007001010,2021,total_housing_units,14
020900007001011,2021,total_housing_units,41
020900007001012,2021,total_housing_units,13
020900007001013,2021,total_housing_units,18
020900007001014,2021,total_housing_units,0
020900007001015,2021,total_housing_units,46
020900007001016,2021,total_housing_units,11
020900007001017,2021,total_housing_units,9
020900007001018,2021,total_housing_units,27
020900007001019,2021,total_housing_units,9
020900007001020,2021,total_housing_units,0
020900007001021,2021,total_housing_units,0
020900007001022,2021,total_housing_units,1
020900007001023,2021,total_housing_units,51
020900007001024,2021,total_housing_units,0
020900007001025,2021,total_housing_units,124
020900007001026,2021,total_housing_units,25
020900007001027,2021,total_housing_units,8
020900007001028,2021,total_housing_units,20
020900007001029,2021,total_housing_units,18
020900007001030,2021,total_housing_units,2
020900007001031,2021,total_housing_units,19
020900007001032,2021,total_housing_units,21
020900007001033,2021,total_housing_units,10
020900007001034,2021,total_housing_units,5
020900007002000,2021,total_housing_units,0
020900007002001,2021,total_housing_units,4
020900007002002,2021,total_housing_units,0
020900007002003,2021,total_housing_units,197
020900007002004,2021,total_housing_units,348
